from_code,edge_type,to_code,required,strength
MATH.G1.SUB.WITHIN_10,HAS_MISCONCEPTION,MATH.G1.MIS.ADD_INSTEAD_OF_SUB,true,0.8
MATH.G1.NUM.COUNT_WITHIN_10,HAS_MISCONCEPTION,MATH.G1.MIS.COUNT_SKIP,true,0.8
MATH.G1.ADD.WITHIN_20_CARRY,HAS_MISCONCEPTION,MATH.G1.MIS.CARRY_FORGET,true,0.8
MATH.G1.SUB.WITHIN_20_BORROW,HAS_MISCONCEPTION,MATH.G1.MIS.BORROW_FORGET,true,0.8
MATH.G2.MUL.MEANING,HAS_MISCONCEPTION,MATH.G2.MIS.MUL_AS_ADD,true,0.8
MATH.G2.MUL.TABLE_2_9,HAS_MISCONCEPTION,MATH.G2.MIS.TABLE_SWAP,true,0.8
MATH.G2.MUL.ONE_DIGIT,HAS_MISCONCEPTION,MATH.G2.MIS.PLACE_VALUE,true,0.8
MATH.G2.DIV.SIMPLE,HAS_MISCONCEPTION,MATH.G2.MIS.DIV_REMAINDER_IGNORE,true,0.8
MATH.G3.FRA.UNIT_FRACTION,HAS_MISCONCEPTION,MATH.G3.MIS.FRA_NUM_DEN_SWAP,true,0.8
MATH.G3.GEO.PERIMETER,HAS_MISCONCEPTION,MATH.G3.MIS.PERIMETER_AREA_MIX,true,0.8
MATH.G3.DIV.MULTI_DIGIT,HAS_MISCONCEPTION,MATH.G3.MIS.DIV_ORDER_WRONG,true,0.8
MATH.G3.WORD.TWO_STEP,HAS_MISCONCEPTION,MATH.G3.MIS.TWO_STEP_WRONG_OP,true,0.8
MATH.G1.MIS.ADD_INSTEAD_OF_SUB,DIAGNOSED_BY,MATH.G1.PROBE.MORE_OR_LESS,true,1.0
MATH.G1.MIS.CARRY_FORGET,DIAGNOSED_BY,MATH.G1.PROBE.DECOMP_CHECK,true,1.0
MATH.G2.MIS.MUL_AS_ADD,DIAGNOSED_BY,MATH.G2.PROBE.MUL_GROUPS,true,1.0
MATH.G2.MIS.DIV_REMAINDER_IGNORE,DIAGNOSED_BY,MATH.G2.PROBE.DIV_SHARE,true,1.0
MATH.G3.MIS.FRA_NUM_DEN_SWAP,DIAGNOSED_BY,MATH.G3.PROBE.FRA_PARTS,true,1.0
MATH.G3.MIS.PERIMETER_AREA_MIX,DIAGNOSED_BY,MATH.G3.PROBE.PERIM_OR_AREA,true,1.0
MATH.G1.MIS.ADD_INSTEAD_OF_SUB,REMEDIATED_BY,MATH.G1.INT.DOT_COVER,true,0.9
MATH.G1.MIS.ADD_INSTEAD_OF_SUB,REMEDIATED_BY,MATH.G1.INT.ORAL_TAKE_AWAY,true,0.9
MATH.G1.MIS.CARRY_FORGET,REMEDIATED_BY,MATH.G1.INT.TEN_FRAME,true,0.9
MATH.G1.MIS.BORROW_FORGET,REMEDIATED_BY,MATH.G1.INT.BREAK_TEN,true,0.9
MATH.G1.SUB.TAKE_AWAY_MEANING,REMEDIATED_BY,MATH.G1.INT.ORAL_TAKE_AWAY,true,0.9
MATH.G2.MIS.MUL_AS_ADD,REMEDIATED_BY,MATH.G2.INT.ARRAY_DOTS,true,0.9
MATH.G2.MIS.TABLE_SWAP,REMEDIATED_BY,MATH.G2.INT.TABLE_DRILL,true,0.9
MATH.G2.MIS.DIV_REMAINDER_IGNORE,REMEDIATED_BY,MATH.G2.INT.DIV_SHARE_REAL,true,0.9
MATH.G3.MIS.FRA_NUM_DEN_SWAP,REMEDIATED_BY,MATH.G3.INT.FRA_PAPER_FOLD,true,0.9
MATH.G3.MIS.PERIMETER_AREA_MIX,REMEDIATED_BY,MATH.G3.INT.PERIM_WALK,true,0.9
MATH.G3.MIS.TWO_STEP_WRONG_OP,REMEDIATED_BY,MATH.G3.INT.TWO_STEP_DRAW,true,0.9
MATH.G1.NUM.COUNT_WITHIN_10,PREREQUISITE_OF,MATH.G1.ADD.WITHIN_5,true,0.85
MATH.G1.ADD.WITHIN_5,PREREQUISITE_OF,MATH.G1.ADD.WITHIN_10,true,0.85
MATH.G1.SUB.WITHIN_5,PREREQUISITE_OF,MATH.G1.SUB.WITHIN_10,true,0.85
MATH.G1.WORD.ADD_SUB_ONE_STEP,PREREQUISITE_OF,MATH.G1.WORD.PICTURE_COUNT,true,0.85
MATH.G2.MUL.TABLE_2_9,PREREQUISITE_OF,MATH.G2.MUL.ZERO_ONE,true,0.85
MATH.G2.DIV.SIMPLE,PREREQUISITE_OF,MATH.G2.DIV.REMAINDER,true,0.85
MATH.G2.DIV.REMAINDER,HAS_MISCONCEPTION,MATH.G2.MIS.REMAINDER_AS_DECIMAL,true,0.85
MATH.G2.DIV.REMAINDER,REMEDIATED_BY,MATH.G2.INT.REMAINDER_SHARE,true,0.85
MATH.G3.MUL.MULTI_DIGIT,PREREQUISITE_OF,MATH.G3.MUL.ZERO_MIDDLE,true,0.85
MATH.G3.DIV.MULTI_DIGIT,PREREQUISITE_OF,MATH.G3.DIV.CHECK,true,0.85
MATH.G3.ADD.SUB_MULTI_DIGIT,PREREQUISITE_OF,MATH.G3.NUM.ROUNDING,true,0.85
MATH.G3.NUM.ROUNDING,HAS_MISCONCEPTION,MATH.G3.MIS.ESTIMATE_EXACT,true,0.85
MATH.G3.FRA.ADD_SAME_DEN,PREREQUISITE_OF,MATH.G3.FRA.SIMPLE_WORD,true,0.85
MATH.G3.WORD.TWO_STEP,PREREQUISITE_OF,MATH.G3.WORD.MUL_DIV_TWO_STEP,true,0.85
MATH.G1.ADD.WITHIN_10,HAS_MISCONCEPTION,MATH.G1.MIS.SIGN_IGNORE,true,0.85
MATH.G1.MIS.SIGN_IGNORE,REMEDIATED_BY,MATH.G1.INT.NUMBER_LINE,true,0.85
MATH.G2.MIS.REMAINDER_AS_DECIMAL,REMEDIATED_BY,MATH.G2.INT.REMAINDER_SHARE,true,0.9
MATH.G3.MIS.ESTIMATE_EXACT,REMEDIATED_BY,MATH.G3.INT.ESTIMATE_ROUND,true,0.9
